Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement_Rate
cristiano,1,Sports with a ball,462900000.0,India,5500000.0,6600000.0,0.0119
leomessi,2,Sports with a ballFamily,347200000.0,Argentina,3600000.0,4800000.0,0.0104
kendalljenner,3,ModelingFashion,247600000.0,United States,3000000.0,4900000.0,0.0121
arianagrande,4,Music,321400000.0,United States,2400000.0,3400000.0,0.0075
zendaya,5,Cinema & Actors/actressesFashion,147000000.0,United States,4300000.0,5800000.0,0.0293
kimkardashian,6,FashionBeauty,323600000.0,United States,1700000.0,2500000.0,0.0053
taylorswift,7,Music,218200000.0,Brazil,2400000.0,3200000.0,0.011
kyliejenner,8,FashionModelingBeauty,357000000.0,United States,1200000.0,1900000.0,0.0034
selenagomez,9,MusicLifestyle,334900000.0,United States,1400000.0,1900000.0,0.0042
thv,10,,46300000.0,United States,13300000.0,13300000.0,0.2873
lalalalisa_m,11,Music,79900000.0,Indonesia,6300000.0,7300000.0,0.0788
jennierubyjane,12,Music,68200000.0,Indonesia,7000000.0,8300000.000000001,0.1026
virat.kohli,13,Sports with a ball,206900000.0,India,2100000.0,2400000.0,0.0101
tomholland2013,14,Cinema & Actors/actresses,67600000.0,United States,5700000.0,7000000.0,0.0843
j.m,15,,38100000.0,,11800000.0,11800000.0,0.3097
agustd,16,Lifestyle,36500000.0,,10400000.0,10400000.0,0.2849
jin,17,,37400000.0,United States,9900000.0,9900000.0,0.2647
beyonce,18,MusicFashion,267400000.0,United States,,1300000.0,
khloekardashian,19,Clothing & OutfitsLifestyle,260400000.0,United States,1100000.0,1400000.0,0.0042
sooyaaa__,20,MusicBeauty,62100000.0,Indonesia,4900000.0,5600000.0,0.0789
billieeilish,21,Music,104300000.0,United States,2400000.0,3100000.0,0.023
neymarjr,22,Sports with a ball,176200000.0,Brazil,1300000.0,1800000.0,0.0074
khaby00,23,Sports with a ball,78600000.0,India,2800000.0,3900000.0,0.0356
justinbieber,24,Music,245900000.0,India,,1200000.0,
roses_are_rosie,25,Music,61000000.0,Indonesia,4000000.0,4600000.0,0.0656
uarmyhope,26,Art/ArtistsCinema & Actors/actressesMusic,37400000.0,South Korea,6900000.0,6900000.0,0.1845
badbunnypr,27,Music,41400000.0,United States,3900000.0,6000000.0,0.0942
nickiminaj,28,Music,197800000.0,United States,,1200000.0,
instagram,29,Photography,528400000.0,India,,,
jungkook.97,30,Music,43000000.0,,5200000.0,5200000.0,0.1209
bts.bighitofficial,31,Music,66000000.0,Indonesia,3000000.0,3300000.0,0.0455
iamcardib,32,MusicFashion,137300000.0,United States,1100000.0,1500000.0,0.008
kourtneykardash,33,Lifestyle,189000000.0,United States,,1100000.0,
karolg,34,Music,54500000.0,Mexico,3000000.0,3700000.0,0.055
zayn,35,Music,46200000.0,India,2700000.0,4300000.0,0.0584
rkive,36,Lifestyle,36000000.0,,5400000.0,5400000.0,0.15
milliebobbybrown,37,Cinema & Actors/actresses,53200000.0,Brazil,2800000.0,3500000.0,0.0526
gigihadid,38,ModelingLifestyle,74900000.0,United States,1600000.0,2400000.0,0.0214
jlo,39,MusicCinema & Actors/actresses,217500000.0,United States,,,
kingjames,40,Sports with a ball,127400000.0,United States,,1300000.0,
therock,41,Cinema & Actors/actressesFitness & Gym,327300000.0,India,,,
adele,42,Music,50600000.0,United States,2200000.0,3100000.0,0.0435
