Influencer ID,Account,Platform,Follower Count,Post Engagements,Engagement Rate (%),Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
INF0001,billieeilish,TikTok,41600000.0,18305800,44.0,95000000.0,18100000.0,151000.0,54800.0,2022-02-07 16:54:35.641971
INF0002,badbunny,TikTok,13400000.0,7508700,56.04,33300000.0,7300000.0,101900.0,106800.0,2022-02-07 16:54:35.641971
INF0003,chipmunksoftiktok,TikTok,11400000.0,3086000,27.07,25000000.0,3000000.0,21800.0,64200.0,2022-02-07 16:54:35.641971
INF0004,charlidamelio,TikTok,135400000.0,2689900,1.99,18700000.0,2600000.0,54700.0,35200.0,2022-02-07 16:54:35.641971
INF0005,yessicadcs,TikTok,263700.0,1554600,589.53,16700000.0,1400000.0,16200.0,138400.0,2022-02-07 16:54:35.641971
INF0006,therock,TikTok,49700000.0,3047300,6.13,24700000.0,3000000.0,30900.0,16400.0,2022-02-07 16:54:35.641971
INF0007,the_pruld,TikTok,433300.0,2792900,644.56,12200000.0,2700000.0,36300.0,56600.0,2022-02-07 16:54:35.641971
INF0008,lukedonkin,TikTok,2000000.0,2488900,124.44,14000000.0,2400000.0,34000.0,54900.0,2022-02-07 16:54:35.641971
INF0009,mastertingus,TikTok,1300000.0,2076600,159.74,13400000.0,2000000.0,32500.0,44100.0,2022-02-07 16:54:35.641971
INF0010,txt.bighitent,TikTok,15300000.0,2288200,14.96,7200000.0,2200000.0,57200.0,31000.0,2022-02-07 16:54:35.641971
INF0011,besttoks,TikTok,1800000.0,1516000,84.22,55900000.0,1500000.0,3300.0,12700.0,2022-02-07 16:54:35.641971
INF0012,machinegunkelly,TikTok,3200000.0,1450100,45.32,17500000.0,1400000.0,26800.0,23300.0,2022-02-07 16:54:35.641971
INF0013,jenniferkershner,TikTok,12500.0,1684600,13476.8,6400000.0,1600000.0,22600.0,62000.0,2022-02-07 16:54:35.641971
INF0014,noahschnapp,TikTok,20100000.0,1853300,9.22,8600000.0,1800000.0,42000.0,11300.0,2022-02-07 16:54:35.641971
INF0015,bdylanhollis,TikTok,6400000.0,1558500,24.35,9100000.0,1500000.0,12400.0,46100.0,2022-02-07 16:54:35.641971
INF0016,fisherbenny,TikTok,3700000.0,1148700,31.05,13100000.0,1100000.0,7000.0,41700.0,2022-02-07 16:54:35.641971
INF0017,sylvaniandrama,TikTok,1800000.0,1389200,77.18,5500000.0,1300000.0,32700.000000000004,56500.0,2022-02-07 16:54:35.641971
INF0018,iamferv,TikTok,24600000.0,1924100,7.82,12900000.0,1900000.0,15800.0,8300.0,2022-02-07 16:54:35.641971
INF0019,mercyfno,TikTok,404500.0,1435500,354.88,11800000.0,1400000.0,17400.0,18100.0,2022-02-07 16:54:35.641971
INF0020,userbigbabywithdaoil,TikTok,601800.0,563200,93.59,8700000.0,414200.0,23600.0,125400.0,2022-02-07 16:54:35.641971
INF0021,bellapoarch,TikTok,87900000.0,1819500,2.07,15400000.0,1800000.0,16400.0,3100.0,2022-02-07 16:54:35.641971
INF0022,jacobwitzling,TikTok,236000.0,1147000,486.02,9500000.0,1100000.0,11600.0,35400.0,2022-02-07 16:54:35.641971
INF0023,karna.val,TikTok,22400000.0,1329900,5.94,11800000.0,1300000.0,17300.0,12600.0,2022-02-07 16:54:35.641971
INF0024,kimberly.loaiza,TikTok,59000000.0,1627400,2.76,10400000.0,1600000.0,22500.0,4900.0,2022-02-07 16:54:35.641971
INF0025,parthpatel___,TikTok,179600.0,1422900,792.26,14100000.0,1400000.0,16700.0,6200.0,2022-02-07 16:54:35.641971
INF0026,enhypen,TikTok,10100000.0,1276500,12.64,4800000.0,1200000.0,44300.0,32200.000000000004,2022-02-07 16:54:35.641971
INF0027,jasminechiswell,TikTok,14700000.0,1915700,13.03,13900000.0,1900000.0,13900.0,1800.0,2022-02-07 16:54:35.641971
INF0028,khaby.lame,TikTok,131100000.0,1618600,1.23,13800000.0,1600000.0,12700.0,5900.0,2022-02-07 16:54:35.641971
INF0029,y_chun,TikTok,1600000.0,2616000,163.5,9300000.0,2600000.0,5300.0,10700.0,2022-02-07 16:54:35.641971
INF0030,miakhalifa,TikTok,31800000.0,1222900,3.85,13800000.0,1200000.0,9400.0,13500.0,2022-02-07 16:54:35.641971
INF0031,domelipa,TikTok,48500000.0,1622400,3.35,9700000.0,1600000.0,15000.0,7400.0,2022-02-07 16:54:35.641971
INF0032,deepins,TikTok,16600000.000000002,1422900,8.57,9700000.0,1400000.0,13200.0,9700.0,2022-02-07 16:54:35.641971
INF0033,kennethkaas,TikTok,102500.0,1221300,1191.51,12000000.0,1200000.0,13000.0,8300.0,2022-02-07 16:54:35.641971
INF0034,swagboygorringe,TikTok,4500000.0,1019700,22.66,5700000.0,969700.0,24900.0,25100.0,2022-02-07 16:54:35.641971
INF0035,official_nct,TikTok,7000000.0,922900,13.18,4000000.0,851700.0,35500.0,35700.0,2022-02-07 16:54:35.641971
INF0036,jao,TikTok,1100000.0,1224700,111.34,8100000.0,1200000.0,15600.0,9100.0,2022-02-07 16:54:35.641971
INF0037,kjsmoothh,TikTok,2000000.0,907100,45.36,6700000.0,866500.0,11800.0,28800.0,2022-02-07 16:54:35.641971
INF0038,loganpaul,TikTok,14000000.0,1513100,10.81,12200000.0,1500000.0,8800.0,4300.0,2022-02-07 16:54:35.641971
INF0039,pongamoslo_a_prueba,TikTok,28100000.0,1710200,6.09,13200000.0,1700000.0,4600.0,5600.0,2022-02-07 16:54:35.641971
INF0040,nei.okey,TikTok,9700.0,1139100,11743.3,5200000.0,1100000.0,26200.0,12900.0,2022-02-07 16:54:35.641971
INF0041,bintangemontersenyum,TikTok,982600.0,772100,78.58,5700000.0,718100.0,19100.0,34900.0,2022-02-07 16:54:35.641971
INF0042,mero_428,TikTok,1300000.0,5373900,413.38,585300.0,70900.0,3000.0,5300000.0,2022-02-07 16:54:35.641971
INF0043,zeth,TikTok,10600000.0,1319400,12.45,8500000.0,1300000.0,6000.0,13400.0,2022-02-07 16:54:35.641971
INF0044,addisonre,TikTok,86500000.0,1119800,1.29,9500000.0,1100000.0,12900.0,6900.0,2022-02-07 16:54:35.641971
INF0045,savanahmosss,TikTok,8600000.0,1612700,18.75,10300000.0,1600000.0,6000.0,6700.0,2022-02-07 16:54:35.641971
INF0046,kaliandarie,TikTok,327000.0,1515300,463.39,8700000.0,1500000.0,7900.0,7400.0,2022-02-07 16:54:35.641971
INF0047,nilered,TikTok,8400000.0,1223000,14.56,6500000.0,1200000.0,10800.0,12200.0,2022-02-07 16:54:35.641971
INF0048,.raquel_e,TikTok,717700.0,324900,45.27,7200000.0,194700.0,1300.0,128900.0,2022-02-07 16:54:35.641971
INF0049,mackenzieziegler,TikTok,22000000.0,1610700,7.32,10300000.0,1600000.0,7300.0,3400.0,2022-02-07 16:54:35.641971
INF0050,kimandnorth,TikTok,5700000.0,1608600,28.22,12700000.0,1600000.0,0.0,8600.0,2022-02-07 16:54:35.641971
INF0051,kimandnorth,TikTok,5700000.0,1608600,28.22,12700000.0,1600000.0,0.0,8600.0,2022-02-07 16:54:35.641971
INF0052,druskitv,TikTok,3000000.0,907500,30.25,4800000.0,866700.0,9000.0,31800.0,2022-02-07 16:54:35.641971
