Influencer_ID,Influencer_Name,Platform,Subscribers,Post_Categories,Country,Visits,Likes,Comments,Engagement_Rate(%),Profile_Link
INF00000,tseries,YouTube,253500000,Música y baile,India,111300,3200,120,0.001309664694280079,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
INF00001,MrBeast,YouTube,210100000,"Videojuegos, Humor",Estados Unidos,95400000,5400000,16600,2.5781056639695383,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
INF00002,CoComelon,YouTube,168100000,Educación,Unknown,4100000,21600,0,0.012849494348602023,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
INF00003,SETIndia,YouTube,165400000,Unknown,India,23300,239,9,0.00014993954050785974,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
INF00004,KidsDianaShow,YouTube,116500000,"Animación, Juguetes",Unknown,4100000,8800,0,0.007553648068669529,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
INF00005,PewDiePie,YouTube,111400000,"Películas, Videojuegos",Estados Unidos,2900000,182000,8100,0.1706463195691203,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
INF00006,LikeNastyaofficial,YouTube,110400000,Juguetes,Unknown,4100000,14500,0,0.013134057971014494,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
INF00007,VladandNiki,YouTube,105500000,"Animación, Juguetes",Unknown,5500000,17300,0,0.016398104265402846,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
INF00008,zeemusiccompany,YouTube,102600000,Música y baile,India,46700,1800,34,0.0017875243664717347,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
INF00009,WWE,YouTube,98100000,Videojuegos,Estados Unidos,148200,4600,189,0.004881753312945974,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
INF00010,BLACKPINK,YouTube,92200000,Música y baile,Estados Unidos,1500000,183500,6300,0.20585683297180044,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
INF00011,GoldminesTelefilms,YouTube,92100000,Unknown,India,23400,261,12,0.0002964169381107492,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
INF00012,SonySAB,YouTube,87200000,"Películas, Animación",India,33300,562,15,0.0006616972477064219,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
INF00013,5MinuteCraftsYouTube,YouTube,80500000,Películas,India,101100,574,25,0.0007440993788819875,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
INF00014,BTS,YouTube,77000000,Música y baile,India,916400,166600,3400,0.2207792207792208,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
INF00015,zeetv,YouTube,74700000,Unknown,India,2900,134,0,0.00017938420348058903,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
INF00016,HYBELABELS,YouTube,73400000,Música y baile,Estados Unidos,341100,47200,716,0.06528065395095368,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
INF00017,Pinkfong,YouTube,71100000,"Animación, Juguetes",Unknown,337700,363,0,0.000510548523206751,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
INF00018,ChuChuTV,YouTube,68800000,Juguetes,Unknown,475200,11000,0,0.015988372093023253,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
INF00019,colorstv,YouTube,68700000,Unknown,India,13700,206,2,0.0003027656477438137,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA
INF00020,filmigaane,YouTube,66900000,Música y baile,India,26700,345,15,0.000538116591928251,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
INF00021,KondZilla,YouTube,66700000,Música y baile,Brasil,15200,680,4,0.001025487256371814,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
INF00022,TSeriesBhaktiSagar,YouTube,64599999,Música y baile,India,19200,718,26,0.001151702804205926,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g
INF00023,tipsofficial,YouTube,62300000,Música y baile,India,58700,852,21,0.0014012841091492778,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w
INF00024,ElReinoInfantil,YouTube,61100000,Música y baile,Unknown,409600,2600,0,0.00425531914893617,http://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA
INF00025,MOVIECLIPS,YouTube,60200000,"Películas, Animación",Estados Unidos,9400,143,7,0.0002491694352159468,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
